number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
29,0.741167088277207,2026-05-25 12:01:49.329970,2026-05-25 12:02:27.535193,0 days 00:00:38.205223,0.6475936450409974,0.037667556478664946,35,71,0.1753780469076544,0.06654403669703646,0.8424588705209003,COMPLETE
47,0.7410383478927367,2026-05-25 12:21:22.803468,2026-05-25 12:22:28.897357,0 days 00:01:06.093889,0.9002680273778603,0.011966356355818393,11,70,0.25471684512403936,0.5030383990032565,0.9048560920630342,COMPLETE
4,0.7410271624337964,2026-05-25 11:35:49.764856,2026-05-25 11:36:20.559248,0 days 00:00:30.794392,0.6260206371941118,0.07500118950416987,63,26,0.9488855372533332,0.9656320330745594,0.6682096494749166,COMPLETE
39,0.7409722240200676,2026-05-25 12:12:09.710599,2026-05-25 12:13:33.836190,0 days 00:01:24.125591,0.7464073223873894,0.012139754914242792,70,177,0.8888113053817867,0.5462760071059998,0.8529203668219043,COMPLETE
3,0.7409373122834875,2026-05-25 11:34:37.200374,2026-05-25 11:35:49.762498,0 days 00:01:12.562124,0.9140703845572055,0.01607123851203988,40,85,0.19967378215835974,0.5142344384136116,0.7824279936868144,COMPLETE
38,0.7409046615630221,2026-05-25 12:11:50.372939,2026-05-25 12:12:09.709408,0 days 00:00:19.336469,0.6285861310951978,0.08279284375665742,30,31,0.23243945291970147,0.48895262796255057,0.8883842129240237,COMPLETE
44,0.7407370874103787,2026-05-25 12:18:29.396019,2026-05-25 12:19:31.032265,0 days 00:01:01.636246,0.9994563730237145,0.012380086443661158,52,83,0.042013627686895,0.004629425104104884,0.786422879666061,COMPLETE
9,0.7407277373381134,2026-05-25 11:40:14.664102,2026-05-25 11:40:45.065533,0 days 00:00:30.401431,0.9208787923016158,0.03364867144187955,57,82,0.07455064367977082,0.9868869366005173,0.6563696899899051,COMPLETE
28,0.7406617830834632,2026-05-25 12:01:21.596956,2026-05-25 12:01:49.328943,0 days 00:00:27.731987,0.73894590736468,0.047096093695448586,49,103,0.0868160541378048,0.22183693053199124,0.8412676708898712,COMPLETE
6,0.740627240906433,2026-05-25 11:36:30.346322,2026-05-25 11:38:08.431909,0 days 00:01:38.085587,0.7246844304357644,0.011240768803005551,29,234,0.5200680211778108,0.5467102793432796,0.8650089137415928,COMPLETE
0,0.7405937530105767,2026-05-25 11:32:52.958583,2026-05-25 11:33:25.429073,0 days 00:00:32.470490,0.6624074561769746,0.03574712922600244,75,244,0.15599452033620265,0.05808361216819946,0.8394633936788146,COMPLETE
